,0
1058,15297.21
1059,15684.24
1060,16291.86
1061,16320.7
1062,16070.45
1063,15957
1064,16713.57
1065,17659.38
1066,17776.12
1067,17802.82
1068,18655.67
1069,18703.8
1070,18414.43
1071,18368
1072,19160.01
1073,18719.11
1074,17149.47
1075,17139.52
1076,17719.85
1077,18184.99
1078,19695.87
1079,18764.96
1080,19204.09
1081,19421.9
1082,18650.52
1083,19147.66
1084,19359.4
1085,19166.9
1086,18324.11
1087,18541.28
1088,18254.63
1089,18036.53
1090,18808.69
1091,19174.99
1092,19273.14
1093,19426.43
1094,21335.52
1095,22797.16
1096,23107.39
1097,23821.61
1098,23455.52
1099,22719.71
1100,23810.79
1101,23232.76
1102,23729.2
1103,24712.47
1104,26493.39
1105,26281.66
1106,27079.41
1107,27385
1108,28875.54
1109,28923.63
1110,29331.69
1111,32178.33
1112,33000.05
1113,31988.71
1114,33949.53
1115,36769.36
1116,39432.28
1117,40582.81
1118,40088.22
1119,38150.02
1120,35404.47
1121,34051.24
1122,37371.38
1123,39144.5
1124,36742.22
1125,35994.98
1126,35828.61
1127,36631.27
1128,35891.49
1129,35468.23
1130,30850.13
1131,32945.17
1132,32078
1133,32259.9
1134,32254.2
1135,32467.77
1136,30366.15
1137,33364.86
1138,34252.2
1139,34262.88
1140,33092.98
1141,33526.37
1142,35466.24
1143,37618.87
1144,36936.66
1145,38290.24
1146,39186.94
1147,38795.69
1148,46374.87
1149,46420.42
1150,44807.58
1151,47969.51
1152,47287.6
1153,47153.69
1154,48577.79
1155,47911.1
1156,49133.45
1157,52119.71
1158,51552.6
1159,55906
1160,55841.19
1161,57408.57
1162,54087.67
1163,48891
1164,49676.2
1165,47073.73
1166,46276.87
1167,46106.43
1168,45135.66
1169,49587.03
1170,48440.65
1171,50349.37
1172,48374.09
1173,48751.71
1174,48882.2
1175,50971.75
1176,52375.17
1177,54884.5
1178,55851.59
1179,57773.16
1180,57221.72
1181,61188.39
1182,58968.31
1183,55605.2
1184,56900.75
1185,58912.97
1186,57648.16
1187,58030.01
1188,58102.28
1189,57351.56
1190,54083.25
1191,54340.89
1192,52303.65
1193,51293.78
1194,55025.59
1195,55817.14
1196,55777.63
1197,57635.47
1198,58746.57
1199,58740.55
1200,58720.44
1201,58950.01
1202,57051.94
1203,58202.01
1204,59129.99
1205,57991.15
1206,55953.45
1207,58077.52
1208,58142.54
1209,59769.13
1210,60002.43
1211,59860
1212,63575
1213,62959.53
1214,63159.98
1215,61334.8
1216,60006.66
1217,56150.01
1218,55633.14
1219,56425
1220,53787.63
1221,51690.96
1222,51125.14
1223,50047.84
1224,49066.77
1225,54001.39
1226,55011.97
1227,54846.22
1228,53555
1229,57694.27
1230,57800.37
1231,56578.21
1232,57169.39
1233,53200.01
1234,57436.11
1235,56393.68
1236,57314.75
1237,58862.05
1238,58240.84
1239,55816.14
1240,56670.02
1241,49631.32
1242,49670.97
1243,49841.45
1244,46762.99
1245,46431.5
1246,43538.04
1247,42849.78
1248,36690.09
1249,40526.64
1250,37252.01
1251,37449.73
1252,34655.25
1253,38796.29
1254,38324.72
1255,39241.91
1256,38529.98
1257,35663.49
1258,34605.15
1259,35641.27
1260,37253.81
1261,36693.09
1262,37568.68
1263,39246.79
1264,36829
1265,35513.2
1266,35796.31
1267,33552.79
1268,33380.81
1269,37388.05
1270,36675.72
1271,37331.98
1272,35546.11
1273,39020.57
1274,40516.29
1275,40144.04
1276,38349.01
1277,38092.97
1278,35819.84
1279,35483.72
1280,35600.16
1281,31608.93
1282,32509.56
1283,33678.07
1284,34663.09
1285,31584.45
1286,32283.65
1287,34700.34
1288,34494.89
1289,35911.73
1290,35045
1291,33504.69
1292,33786.55
1293,34669.13
1294,35286.51
1295,33690.14
1296,34220.01
1297,33862.12
1298,32875.71
1299,33815.81
1300,33502.87
1301,34258.99
1302,33086.63
1303,32729.77
1304,32820.02
1305,31880
1306,31383.87
1307,31520.07
1308,31778.56
1309,30839.65
1310,29790.35
1311,32144.51
1312,32287.83
1313,33634.09
1314,34258.14
1315,35381.02
1316,37237.6
1317,39457.87
1318,40019.56
1319,40016.48
1320,42206.37
1321,41461.83
1322,39845.44
1323,39147.82
1324,38207.05
1325,39723.18
1326,40862.46
1327,42836.87
1328,44572.54
1329,43794.37
1330,46253.4
1331,45584.99
1332,45511
1333,44399
1334,47800
1335,47068.51
1336,46973.82
1337,45901.29
1338,44695.95
1339,44705.29
1340,46760.62
1341,49322.47
1342,48821.87
1343,49239.22
1344,49488.85
1345,47674.01
1346,48973.32
1347,46843.87
1348,49069.9
1349,48895.35
1350,48767.83
1351,46982.91
1352,47100.89
1353,48810.52
1354,49246.64
1355,49999.14
1356,49915.64
1357,51756.88
1358,52663.9
1359,46863.73
1360,46048.31
